"stationID";"security";"dockingCostPerVolume";"maxShipVolumeDockable";"officeRentalCost";"operationID";"stationTypeID";"corporationID";"solarSystemID";"constellationID";"regionID";"stationName";"x";"y";"z";"reprocessingEfficiency";"reprocessingStationsTake";"reprocessingHangarFlag"
"60000031";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30002654";"20000388";"10000032";"Schoorasana VI - Moon 6 - CBD Corporation Storage";"-947.635.937.280,00";"-170.569.605.120,00";"-694.779.863.040,00";"0,50";"0,05";"4"
"60000034";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30002648";"20000388";"10000032";"Ardene VI - Moon 12 - CBD Corporation Storage";"335.164.907.520,00";"-66.834.554.880,00";"-387.371.704.320,00";"0,50";"0,05";"4"
"60000037";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30002650";"20000388";"10000032";"Ney X - Moon 12 - CBD Corporation Storage";"1.238.247.628.800,00";"10.976.993.280,00";"-2.682.347.520,00";"0,50";"0,05";"4"
"60000040";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003393";"20000495";"10000042";"Eiluvodi VI - Moon 14 - CBD Corporation Storage";"-1.108.065.853.440,00";"37.901.721.600,00";"-399.274.598.400,00";"0,50";"0,05";"4"
"60000043";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003393";"20000495";"10000042";"Eiluvodi VIII - Moon 2 - CBD Corporation Storage";"3.163.545.231.360,00";"-108.197.928.960,00";"3.690.952.826.880,00";"0,50";"0,05";"4"
"60000046";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003399";"20000495";"10000042";"Vorsk IV - Moon 1 - CBD Corporation Storage";"-105.891.962.880,00";"18.134.016.000,00";"64.060.416.000,00";"0,50";"0,05";"4"
"60000049";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003397";"20000495";"10000042";"Bongveber IX - Moon 10 - CBD Corporation Storage";"-261.978.562.560,00";"-44.508.979.200,00";"-581.469.020.160,00";"0,50";"0,05";"4"
"60000052";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003395";"20000495";"10000042";"Roleinn X - Moon 13 - CBD Corporation Storage";"991.590.604.800,00";"-51.580.477.440,00";"-2.064.394.444.800,00";"0,50";"0,05";"4"
"60000055";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003394";"20000495";"10000042";"Freatlidur IX - Moon 15 - CBD Corporation Storage";"-2.267.215.994.880,00";"108.494.069.760,00";"-2.340.726.251.520,00";"0,50";"0,05";"4"
"60000058";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003082";"20000450";"10000038";"Hatori X - Moon 12 - CBD Corporation Storage";"-1.699.735.511.040,00";"146.663.301.120,00";"-825.273.753.600,00";"0,50";"0,05";"4"
"60000061";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003084";"20000450";"10000038";"Malpara II - CBD Corporation Storage";"-68.915.404.800,00";"-1.358.684.160,00";"-73.023.774.720,00";"0,50";"0,05";"4"
"60000064";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003082";"20000450";"10000038";"Hatori X - Moon 10 - CBD Corporation Storage";"-1.700.332.707.840,00";"146.714.910.720,00";"-826.992.107.520,00";"0,50";"0,05";"4"
"60000067";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003081";"20000450";"10000038";"Ronne I - Moon 1 - CBD Corporation Storage";"4.826.357.760,00";"-225.484.800,00";"108.262.563.840,00";"0,50";"0,05";"4"
"60000070";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003082";"20000450";"10000038";"Hatori IX - Moon 8 - CBD Corporation Storage";"121.209.692.160,00";"-10.458.193.920,00";"838.286.499.840,00";"0,50";"0,05";"4"
"60000073";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003083";"20000450";"10000038";"Junsen V - Moon 20 - CBD Corporation Storage";"2.160.797.982.720,00";"414.495.989.760,00";"1.123.305.185.280,00";"0,50";"0,05";"4"
"60000076";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30002414";"20000355";"10000028";"Klingt VII - Moon 2 - CBD Corporation Storage";"-337.193.902.080,00";"63.504.506.880,00";"289.445.683.200,00";"0,50";"0,05";"4"
"60000079";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30002415";"20000355";"10000028";"Weld IV - Moon 14 - CBD Corporation Storage";"-972.277.309.440,00";"13.201.367.040,00";"-1.525.280.808.960,00";"0,50";"0,05";"4"
"60000082";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30002414";"20000355";"10000028";"Klingt IV - Moon 1 - CBD Corporation Storage";"92.901.335.040,00";"-17.496.023.040,00";"-110.818.959.360,00";"0,50";"0,05";"4"
"60000085";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30002420";"20000355";"10000028";"Egbinger XI - Moon 3 - CBD Corporation Storage";"-352.724.951.040,00";"-70.727.147.520,00";"-1.370.689.413.120,00";"0,50";"0,05";"4"
"60000088";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30002414";"20000355";"10000028";"Klingt V - CBD Corporation Storage";"-38.781.788.160,00";"7.309.762.560,00";"208.769.802.240,00";"0,50";"0,05";"4"
"60000091";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30002414";"20000355";"10000028";"Klingt IX - Moon 3 - CBD Corporation Storage";"641.821.040.640,00";"-120.874.475.520,00";"-1.055.101.132.800,00";"0,50";"0,05";"4"
"60000094";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003429";"20000500";"10000042";"Geffur VIII - Moon 10 - CBD Corporation Storage";"-376.667.136.000,00";"-34.467.962.880,00";"-1.304.583.413.760,00";"0,50";"0,05";"4"
"60000097";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003432";"20000500";"10000042";"Lumegen V - Moon 2 - CBD Corporation Storage";"-59.621.744.640,00";"-6.001.090.560,00";"671.180.513.280,00";"0,50";"0,05";"4"
"60000100";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003430";"20000500";"10000042";"Oppold IX - Moon 6 - CBD Corporation Storage";"-4.403.514.040.320,00";"-498.863.923.200,00";"-2.968.522.137.600,00";"0,50";"0,05";"4"
"60000103";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003432";"20000500";"10000042";"Lumegen I - CBD Corporation Storage";"-39.094.640.640,00";"-3.935.723.520,00";"63.403.991.040,00";"0,50";"0,05";"4"
"60000106";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003430";"20000500";"10000042";"Oppold IV - Moon 1 - CBD Corporation Storage";"-118.070.845.440,00";"-13.375.856.640,00";"202.273.136.640,00";"0,50";"0,05";"4"
"60000109";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30003429";"20000500";"10000042";"Geffur VII - Moon 3 - CBD Corporation Storage";"561.277.378.560,00";"51.362.734.080,00";"547.152.814.080,00";"0,50";"0,05";"4"
"60000112";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30005001";"20000732";"10000064";"Arnon VIII - Moon 2 - CBD Corporation Storage";"-259.453.132.800,00";"-3.006.013.440,00";"316.619.120.640,00";"0,50";"0,05";"4"
"60000115";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30005003";"20000732";"10000064";"Adirain V - Moon 4 - CBD Corporation Storage";"55.648.788.480,00";"10.898.104.320,00";"502.882.590.720,00";"0,50";"0,05";"4"
"60000118";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30005004";"20000732";"10000064";"Attyn V - Moon 2 - CBD Corporation Storage";"1.630.383.759.360,00";"218.044.784.640,00";"-1.114.428.825.600,00";"0,50";"0,05";"4"
"60000121";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30005007";"20000732";"10000064";"Lisbaetanne I - CBD Corporation Storage";"33.754.521.600,00";"-1.452.072.960,00";"52.854.251.520,00";"0,50";"0,05";"4"
"60000124";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30005001";"20000732";"10000064";"Arnon XII - CBD Corporation Storage";"2.625.060.003.840,00";"30.402.109.440,00";"3.254.444.482.560,00";"0,50";"0,05";"4"
"60000127";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30005001";"20000732";"10000064";"Arnon X - Moon 8 - CBD Corporation Storage";"-1.071.703.941.120,00";"-12.411.494.400,00";"106.688.962.560,00";"0,50";"0,05";"4"
"60000130";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004250";"20000622";"10000054";"Chibi VI - Moon 13 - CBD Corporation Storage";"-82.122.547.200,00";"8.119.050.240,00";"-545.027.235.840,00";"0,50";"0,05";"4"
"60000133";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004253";"20000622";"10000054";"Pahineh VII - Moon 9 - CBD Corporation Storage";"794.193.223.680,00";"-9.298.944.000,00";"-218.087.546.880,00";"0,50";"0,05";"4"
"60000136";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004249";"20000622";"10000054";"Avada II - CBD Corporation Storage";"77.468.835.840,00";"12.991.979.520,00";"-34.781.306.880,00";"0,50";"0,05";"4"
"60000139";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004248";"20000622";"10000054";"Haimeh IX - Moon 4 - CBD Corporation Storage";"-1.456.338.001.920,00";"202.727.055.360,00";"-636.877.578.240,00";"0,50";"0,05";"4"
"60000142";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004250";"20000622";"10000054";"Chibi VIII - Moon 21 - CBD Corporation Storage";"-736.036.331.520,00";"72.757.862.400,00";"1.866.394.460.160,00";"0,50";"0,05";"4"
"60000145";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004248";"20000622";"10000054";"Haimeh II - CBD Corporation Storage";"-55.428.833.280,00";"7.716.495.360,00";"27.634.851.840,00";"0,50";"0,05";"4"
"60000148";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30002513";"20000368";"10000030";"Dammalin VI - CBD Corporation Storage";"189.263.093.760,00";"25.911.091.200,00";"1.332.314.480.640,00";"0,50";"0,05";"4"
"60000151";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30002517";"20000368";"10000030";"Gulmorogod VI - Moon 4 - CBD Corporation Storage";"-96.244.654.080,00";"19.418.112.000,00";"-356.422.164.480,00";"0,50";"0,05";"4"
"60000154";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30002515";"20000368";"10000030";"Olfeim V - Moon 3 - CBD Corporation Storage";"-663.907.491.840,00";"35.747.389.440,00";"-612.626.718.720,00";"0,50";"0,05";"4"
"60000157";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30002517";"20000368";"10000030";"Gulmorogod VIII - Moon 25 - CBD Corporation Storage";"212.856.545.280,00";"-42.946.682.880,00";"-1.496.815.411.200,00";"0,50";"0,05";"4"
"60000160";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30002512";"20000368";"10000030";"Alakgur VIII - Moon 2 - CBD Corporation Storage";"-207.847.464.960,00";"9.396.756.480,00";"897.363.517.440,00";"0,50";"0,05";"4"
"60000163";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30002512";"20000368";"10000030";"Alakgur IX - Moon 9 - CBD Corporation Storage";"1.472.972.021.760,00";"-66.592.235.520,00";"-1.280.668.016.640,00";"0,50";"0,05";"4"
"60000166";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004295";"20000627";"10000054";"Keba II - CBD Corporation Storage";"79.254.773.760,00";"-14.926.848.000,00";"78.418.206.720,00";"0,50";"0,05";"4"
"60000169";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004293";"20000627";"10000054";"Pserz VIII - Moon 3 - CBD Corporation Storage";"311.143.833.600,00";"57.304.965.120,00";"-182.119.342.080,00";"0,50";"0,05";"4"
"60000172";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004292";"20000627";"10000054";"Soza XII - Moon 14 - CBD Corporation Storage";"-116.559.667.200,00";"8.914.083.840,00";"-1.347.375.882.240,00";"0,50";"0,05";"4"
"60000175";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004293";"20000627";"10000054";"Pserz XII - Moon 4 - CBD Corporation Storage";"859.130.388.480,00";"158.230.978.560,00";"-3.032.176.680.960,00";"0,50";"0,05";"4"
"60000178";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004289";"20000627";"10000054";"Vaini III - CBD Corporation Storage";"-304.149.749.760,00";"11.314.913.280,00";"-529.120.665.600,00";"0,50";"0,05";"4"
"60000181";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004295";"20000627";"10000054";"Keba IX - Moon 1 - CBD Corporation Storage";"275.792.486.400,00";"-51.945.922.560,00";"2.300.021.022.720,00";"0,50";"0,05";"4"
"60000184";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001673";"20000247";"10000020";"Shesha III - CBD Corporation Storage";"267.603.763.200,00";"49.604.567.040,00";"184.447.426.560,00";"0,50";"0,05";"4"
"60000187";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001674";"20000247";"10000020";"Hilaban VI - Moon 1 - CBD Corporation Storage";"5.589.312.675.840,00";"-1.041.337.589.760,00";"391.955.128.320,00";"0,50";"0,05";"4"
"60000190";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001674";"20000247";"10000020";"Hilaban IV - Moon 5 - CBD Corporation Storage";"2.270.379.417.600,00";"-422.991.421.440,00";"-3.396.018.216.960,00";"0,50";"0,05";"4"
"60000193";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001674";"20000247";"10000020";"Hilaban III - Moon 3 - CBD Corporation Storage";"-195.922.452.480,00";"36.502.855.680,00";"-1.291.398.881.280,00";"0,50";"0,05";"4"
"60000196";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001669";"20000247";"10000020";"Pimebeka VIII - Moon 9 - CBD Corporation Storage";"-1.674.345.553.920,00";"315.552.768.000,00";"303.405.342.720,00";"0,50";"0,05";"4"
"60000199";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001674";"20000247";"10000020";"Hilaban VIII - Moon 1 - CBD Corporation Storage";"8.383.854.305.280,00";"-1.561.984.573.440,00";"-672.309.780.480,00";"0,50";"0,05";"4"
"60000202";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30005032";"20000736";"10000065";"Khabara VII - Moon 15 - CBD Corporation Storage";"1.226.881.966.080,00";"-18.322.759.680,00";"-673.251.287.040,00";"0,50";"0,05";"4"
"60000205";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30005031";"20000736";"10000065";"Nebian II - CBD Corporation Storage";"67.616.071.680,00";"-8.097.177.600,00";"-136.722.309.120,00";"0,50";"0,05";"4"
"60000208";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30005035";"20000736";"10000065";"Ami V - Moon 1 - CBD Corporation Storage";"157.567.918.080,00";"-1.332.879.360,00";"-143.147.458.560,00";"0,50";"0,05";"4"
"60000211";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30005035";"20000736";"10000065";"Ami VI - CBD Corporation Storage";"-256.810.721.280,00";"2.169.692.160,00";"-146.786.918.400,00";"0,50";"0,05";"4"
"60000214";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30005030";"20000736";"10000065";"Fensi VI - Moon 10 - CBD Corporation Storage";"42.554.204.160,00";"-5.570.273.280,00";"588.935.208.960,00";"0,50";"0,05";"4"
"60000217";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30005035";"20000736";"10000065";"Ami VII - Moon 1 - CBD Corporation Storage";"241.435.238.400,00";"-2.042.388.480,00";"459.262.648.320,00";"0,50";"0,05";"4"
"60000220";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001729";"20000256";"10000020";"Sinid VI - CBD Corporation Storage";"981.053.153.280,00";"-126.866.595.840,00";"-430.000.005.120,00";"0,50";"0,05";"4"
"60000223";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001732";"20000256";"10000020";"Zith IX - Moon 2 - CBD Corporation Storage";"850.011.709.440,00";"-66.729.615.360,00";"-3.062.612.090.880,00";"0,50";"0,05";"4"
"60000226";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001731";"20000256";"10000020";"Ilas V - Moon 1 - CBD Corporation Storage";"-60.725.698.560,00";"11.157.626.880,00";"187.898.388.480,00";"0,50";"0,05";"4"
"60000229";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001733";"20000256";"10000020";"Tew IX - Moon 9 - CBD Corporation Storage";"-697.901.998.080,00";"100.861.992.960,00";"1.691.182.080.000,00";"0,50";"0,05";"4"
"60000232";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001729";"20000256";"10000020";"Sinid VI - Moon 2 - CBD Corporation Storage";"981.105.008.640,00";"-126.874.214.400,00";"-429.750.558.720,00";"0,50";"0,05";"4"
"60000235";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001731";"20000256";"10000020";"Ilas VII - Moon 10 - CBD Corporation Storage";"431.192.432.640,00";"-79.226.265.600,00";"291.134.545.920,00";"0,50";"0,05";"4"
"60000238";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004102";"20000599";"10000052";"Inis-Ilix V - CBD Corporation Storage";"-522.115.276.800,00";"-44.427.878.400,00";"15.786.762.240,00";"0,50";"0,05";"4"
"60000241";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004099";"20000599";"10000052";"Sonama VI - Moon 12 - CBD Corporation Storage";"1.482.512.424.960,00";"107.945.533.440,00";"172.335.390.720,00";"0,50";"0,05";"4"
"60000244";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004102";"20000599";"10000052";"Inis-Ilix IV - Moon 1 - CBD Corporation Storage";"291.853.393.920,00";"24.834.478.080,00";"-54.901.678.080,00";"0,50";"0,05";"4"
"60000247";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004099";"20000599";"10000052";"Sonama VII - Moon 5 - CBD Corporation Storage";"-1.657.478.553.600,00";"-120.685.240.320,00";"2.315.270.676.480,00";"0,50";"0,05";"4"
"60000250";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004103";"20000599";"10000052";"Kothe X - Moon 6 - CBD Corporation Storage";"1.962.966.097.920,00";"-281.786.818.560,00";"-3.091.163.504.640,00";"0,50";"0,05";"4"
"60000253";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30004101";"20000599";"10000052";"Suner VII - Moon 16 - CBD Corporation Storage";"2.181.223.096.320,00";"-11.047.772.160,00";"-1.756.483.215.360,00";"0,50";"0,05";"4"
"60000256";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001399";"20000205";"10000016";"Elonaya X - Moon 22 - CBD Corporation Storage";"743.151.820.800,00";"93.873.070.080,00";"864.016.097.280,00";"0,50";"0,05";"4"
"60000259";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001401";"20000205";"10000016";"Nonni VI - CBD Corporation Storage";"-845.254.287.360,00";"132.293.713.920,00";"-213.408.276.480,00";"0,50";"0,05";"4"
"60000262";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001401";"20000205";"10000016";"Nonni IV - CBD Corporation Storage";"184.683.847.680,00";"-28.905.431.040,00";"206.017.781.760,00";"0,50";"0,05";"4"
"60000265";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001403";"20000205";"10000016";"Piak II - Moon 3 - CBD Corporation Storage";"194.210.734.080,00";"33.575.854.080,00";"560.669.122.560,00";"0,50";"0,05";"4"
"60000268";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001401";"20000205";"10000016";"Nonni III - CBD Corporation Storage";"148.531.077.120,00";"-23.244.840.960,00";"-175.728.107.520,00";"0,50";"0,05";"4"
"60000271";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000002";"30001399";"20000205";"10000016";"Elonaya X - Moon 11 - CBD Corporation Storage";"751.583.846.400,00";"94.938.193.920,00";"871.651.368.960,00";"0,50";"0,05";"4"
"60000274";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000003";"30000149";"20000021";"10000002";"Gekutami V - Moon 1 - Prompt Delivery Storage";"489.281.249.280,00";"-41.618.104.320,00";"197.582.069.760,00";"0,50";"0,05";"4"
"60000277";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000003";"30000148";"20000021";"10000002";"Jakanerva III - Moon 15 - Prompt Delivery Storage";"165.632.286.720,00";"2.771.804.160,00";"2.455.331.266.560,00";"0,50";"0,05";"4"
"60000280";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000003";"30000149";"20000021";"10000002";"Gekutami VII - Moon 3 - Prompt Delivery Storage";"-1.049.566.863.360,00";"89.275.637.760,00";"799.236.218.880,00";"0,50";"0,05";"4"
"60000283";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000003";"30000120";"20000017";"10000002";"Mitsolen IV - Moon 9 - Prompt Delivery Storage";"178.045.624.320,00";"30.796.800.000,00";"-224.824.320.000,00";"0,50";"0,05";"4"
"60000286";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000003";"30000121";"20000017";"10000002";"Jatate III - Moon 10 - Prompt Delivery Storage";"-105.431.162.880,00";"-3.500.236.800,00";"-359.860.346.880,00";"0,50";"0,05";"4"
"60000289";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000003";"30000121";"20000017";"10000002";"Jatate IV - Moon 17 - Prompt Delivery Storage";"2.091.547.238.400,00";"69.442.068.480,00";"-1.625.949.265.920,00";"0,50";"0,05";"4"
"60000292";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000003";"30000126";"20000018";"10000002";"Geras IX - Moon 7 - Prompt Delivery Storage";"119.167.426.560,00";"-2.177.310.720,00";"-1.321.293.864.960,00";"0,50";"0,05";"4"
"60000295";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000003";"30000130";"20000018";"10000002";"Shihuken VII - Moon 10 - Prompt Delivery Storage";"671.700.541.440,00";"115.793.387.520,00";"-92.180.520.960,00";"0,50";"0,05";"4"
"60000298";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000003";"30000129";"20000018";"10000002";"Unpas VIII - Moon 11 - Prompt Delivery Storage";"747.298.775.040,00";"-54.877.839.360,00";"-792.041.840.640,00";"0,50";"0,05";"4"
"60000301";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000003";"30000188";"20000027";"10000002";"Hentogaira III - Moon 6 - Prompt Delivery Storage";"135.881.318.400,00";"-11.557.969.920,00";"-4.912.466.288.640,00";"0,50";"0,05";"4"
"60000304";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000003";"30000188";"20000027";"10000002";"Hentogaira IV - Prompt Delivery Storage";"-2.636.976.906.240,00";"224.297.902.080,00";"-6.739.993.190.400,00";"0,50";"0,05";"4"
"60000307";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000003";"30000189";"20000027";"10000002";"Kiainti IX - Moon 8 - Prompt Delivery Storage";"-978.305.064.960,00";"5.481.308.160,00";"-1.613.778.984.960,00";"0,50";"0,05";"4"
"60000310";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000004";"30001399";"20000205";"10000016";"Elonaya X - Moon 21 - Ytiri Storage";"755.622.666.240,00";"95.448.145.920,00";"864.233.840.640,00";"0,50";"0,05";"4"
"60000313";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000004";"30001403";"20000205";"10000016";"Piak IV - Moon 22 - Ytiri Storage";"5.196.201.861.120,00";"898.333.532.160,00";"956.387.696.640,00";"0,50";"0,05";"4"
"60000316";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000004";"30001403";"20000205";"10000016";"Piak III - Moon 19 - Ytiri Storage";"1.154.160.844.800,00";"199.537.582.080,00";"-1.007.643.156.480,00";"0,50";"0,05";"4"
"60000319";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000004";"30001398";"20000205";"10000016";"Aunenen VII - Moon 1 - Ytiri Storage";"2.181.402.255.360,00";"-77.584.834.560,00";"-3.598.985.502.720,00";"0,50";"0,05";"4"
"60000322";"500";"0,00";"50.000.000,00";"10000";"26";"1531";"1000004";"30002744";"20000402";"10000033";"Auviken V - Moon 6 - Ytiri Storage";"-137.194.414.080,00";"11.895.644.160,00";"-492.371.927.040,00";"0,50";"0,05";"4"
