"typeID";"groupID";"typeName";"description";"graphicID";"radius";"mass";"volume";"capacity";"portionSize";"raceID";"basePrice";"published";"marketGroupID";"chanceOfDuplicating"
"21";"454";"Hedbergite";"Hedbergite is sought after for its high concentration of isogen, although the high portion size needed for refining makes it a bit less attractive. 500 ore units are needed to refine it.";"1.269";"1,00";"1E35";"3,00";"0,00";"500";"";"0,00";"false";"527";"0,00"
"22";"450";"Arkonor";"The rarest and most sought-after ore in the known world. A sizable nugget of this can sweep anyone from rags to riches in no time. Arkonor has the largest amount of megacyte of any ore, and also contains some zydrine and tritanium. The portion size for refining is 200 ore units.";"1.277";"1,00";"1E35";"16,00";"0,00";"200";"";"0,00";"false";"512";"0,00"
"23";"12";"Cargo Container";"This cargo container is flimsily constructed and may not survive the rigors of space for more than an hour or so.";"16";"14,00";"10.000,00";"27.500,00";"27.500,00";"1";"";"0,00";"false";"";"0,00"
"24";"13";"Ring";"";"0";"4.500.000,00";"1E35";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"25";"14";"Corpse";"";"398";"1,00";"200,00";"2,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"26";"16";"Office Folder";"";"18";"0,00";"0,00";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"27";"16";"Office";"";"19";"0,00";"0,00";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"28";"16";"Factory Folder";"";"292";"0,00";"0,00";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"29";"17";"Credits";"";"21";"0,00";"0,00";"0,00";"0,00";"57.344";"";"0,00";"true";"";"0,00"
"30";"19";"Faction";"";"";"0,00";"0,00";"0,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"34";"18";"Tritanium";"The main building block in space structures. A very hard, yet bendable metal. Cannot be used in human habitats due to its instability at atmospheric temperatures. Very common throughout the world.";"399";"0,00";"0,00";"0,01";"0,00";"1";"";"2,00";"true";"18";"0,00"
"35";"18";"Pyerite";"A soft crystal-like mineral with a very distinguishing orange glow as if on fire. Used as conduit and in the bio-chemical industry. Commonly found in many asteroid-ore types.";"1.203";"0,00";"0,00";"0,01";"0,00";"1";"";"8,00";"true";"18";"0,00"
"36";"18";"Mexallon";"Very flexible metallic mineral, dull to bright silver in color. Can be mixed with tritanium to make extremely hard alloys or it can be used by itself for various purposes. Fairly common in most regions.";"401";"0,00";"0,00";"0,01";"0,00";"1";"";"32,00";"true";"18";"0,00"
"37";"18";"Isogen";"Light-bluish crystal, formed by intense pressure deep within large asteroids and moons. Used in electronic and weapon manufacturing. Only found in abundance in a few areas.";"402";"0,00";"0,00";"0,01";"0,00";"1";"";"128,00";"true";"18";"0,00"
"38";"18";"Nocxium";"A highly volatile mineral only formed during supernovas, thus severely limiting the extent of its distribution. Vital ingredient in capsule production, making it very coveted.";"1.201";"0,00";"0,00";"0,01";"0,00";"1";"";"512,00";"true";"18";"0,00"
"39";"18";"Zydrine";"Only found in huge geodes; rocks on the outside with crystal-like quartz on the inside. The rarest and most precious of these geodes are those that contain the dark green zydrine within. Very rare and very expensive.";"404";"0,00";"0,00";"0,01";"0,00";"1";"";"2.048,00";"true";"18";"0,00"
"40";"18";"Megacyte";"An extremely rare mineral found in comets and very occasionally in asteroids that have traveled through gas clouds. Has unique explosive traits that make it very valuable in the armaments industry.";"1.202";"0,00";"0,00";"0,01";"0,00";"1";"";"8.192,00";"true";"18";"0,00"
"41";"280";"Garbage";"Production waste can mean garbage to some but valuable resource material to others.";"1.179";"0,00";"2.500,00";"0,25";"0,00";"1";"";"20,00";"true";"20";"0,00"
"42";"280";"Spiced Wine";"Luxury goods are always solid commodities for inter-stellar trading. Spiced wine is not the rarest of luxury goods, but it can still be sold at small outposts and bases that don't manufacture any themselves.";"27";"0,00";"500,00";"0,50";"0,00";"1";"";"1.500,00";"true";"492";"0,00"
"43";"280";"Antibiotics";"Antibiotics are in constant demand everywhere and new, more potent versions, are always made available to counter the increased immunity of bacteria against antibiotics.";"28";"0,00";"5,00";"0,20";"0,00";"1";"";"325,00";"true";"492";"0,00"
"44";"282";"Enriched Uranium";"Enriched Uranium is used in many kinds of manufacturing and as a fuel, making it a steady trade commodity.  Enriched Uranium is generally manufactured by combining standard semiconductor PVD methods with ionic separation by means of mass spectrometry.";"29";"0,00";"2.000,00";"1,00";"0,00";"1";"";"5.000,00";"true";"22";"0,00"
"45";"281";"Frozen Plant Seeds";"Frozen plant seeds are in high demand in many regions, especially on stations orbiting a non-habitable planet.";"1.200";"0,00";"400,00";"0,50";"0,00";"1";"";"75,00";"true";"492";"0,00"
"48";"20";"Personal Nuclear Methadone";"Nuclear Methadone is a potent and popular smart drug, which can boost your abilities for a short while. It is illegal in Caldari space and you'll be branded a smuggler if found carrying it therein. You can buy and sell Nuclear Methadone just like any other trade commodity, but you can also buy dosages for personal usage.  This is the personal version.";"32";"0,00";"0,00";"1,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"49";"24";"Player Kill";"Kill confirmation";"37";"0,00";"0,00";"0,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"50";"24";"Company Shares";"Shares of a corporation.";"2.243";"0,00";"0,00";"0,00";"0,00";"1";"";"0,00";"false";"";"0,00"
"51";"24";"Bookmark";"";"1.700";"0,00";"0,00";"0,00";"0,00";"1";"";"0,00";"false";"";"0,00"
"52";"94";"Trading";"";"195";"0,00";"0,00";"0,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"53";"95";"Trade Session";"";"196";"0,00";"0,00";"0,00";"0,00";"1";"";"0,00";"true";"";"0,00"
"54";"15";"Station (Caldari 4)";"";"237";"15.351,00";"0,00";"1,00";"0,00";"1";"1";"0,00";"true";"";"0,00"
"56";"15";"Station (Gallente 1)";"";"239";"23.836,00";"0,00";"1,00";"0,00";"1";"8";"0,00";"true";"";"0,00"
"57";"15";"Station (Gallente 2)";"";"240";"27.072,00";"0,00";"1,00";"0,00";"1";"8";"0,00";"true";"";"0,00"
"58";"15";"C-O-1";"Caldari Outpost 1";"346";"1.000,00";"0,00";"1,00";"0,00";"1";"1";"0,00";"true";"";"0,00"
"59";"15";"C-O-2";"Caldari Outpost 2";"347";"1.000,00";"0,00";"1,00";"0,00";"1";"1";"0,00";"true";"";"0,00"
"164";"23";"Clone Grade Alpha";"";"34";"0,00";"0,00";"1,00";"0,00";"1";"";"0,00";"false";"";"0,00"
"165";"23";"Clone Grade Beta";"";"35";"0,00";"0,00";"1,00";"0,00";"1";"";"0,00";"false";"";"0,00"
"166";"23";"Clone Grade Gamma";"";"36";"0,00";"0,00";"1,00";"0,00";"1";"";"0,00";"false";"";"0,00"
"178";"83";"Carbonized Lead S";"Small Projectile Ammo. This ammo uses is a simple lead slug encased in a hard shell of crystaline carbon. It is fairly cheap and works very well against most armors. Shields, however, are a problem.";"1.308";"1,00";"0,01";"0,01";"0,00";"100";"";"0,00";"true";"113";"0,07"
"179";"83";"Nuclear S";"Small Projectile Ammo. Nuclear weapons are considered by most races to be crude and primitive. However, the Minmatar still favor them over more sophisticated weapons due to the abundance of materials for plutonium production in Minmatar space.";"1.288";"1,00";"0,01";"0,01";"0,00";"100";"";"0,00";"true";"113";"0,07"
"180";"83";"Proton S";"Small Projectile Ammo. Emits a focused, high intensity proton burst upon impact. Fairly effective vs. both shields and armor.";"1.290";"1,00";"0,01";"0,01";"0,00";"100";"";"0,00";"true";"113";"0,07"
"181";"83";"Depleted Uranium S";"Small projectile Ammo. Very commonly used by Minmatar pilots, this ammo is incendiary and also has great penetration. Just be careful handling it unless you want to wake up with an extra toe on your forehead.";"1.285";"1,00";"0,01";"0,01";"0,00";"100";"";"0,00";"true";"113";"0,07"
"182";"83";"Titanium Sabot S";"Small Projectile Ammo. This is among the most feared ammunition around. It has excellent penetration. Once the ship's outer layer is penetrated, the core explodes, spraying the interior with a cloud of fragmentation fletchets that cause considerable damage to the vulnerable interior structure.";"1.291";"1,00";"0,01";"0,01";"0,00";"100";"";"0,00";"true";"113";"0,07"
"183";"83";"Fusion S";"Small Projectile Ammo.The destructive power of a fusion warhead is superior to most other projectile warheads available. Has problems penetrating heavy shield systems.";"1.287";"1,00";"0,01";"0,01";"0,00";"100";"";"0,00";"true";"113";"0,07"
"184";"83";"Phased Plasma S";"Small Projectile Ammo.This ammo uses a similar plasma containment core as hybrid charges except that it is mounted in a standard cannon shell.";"1.289";"1,00";"0,01";"0,01";"0,00";"100";"";"0,00";"true";"113";"0,07"
"185";"83";"EMP S";"Small projectile Ammo. A new technology, this highly advanced ammunition emits a focused EM pulse. Very potent against shields. Small projectile Ammo";"1.286";"1,00";"0,01";"0,01";"0,00";"100";"";"0,00";"true";"113";"0,07"
"186";"83";"Carbonized Lead M";"Medium Projectile Ammo. This ammo uses is a simple lead slug encased in a hard shell of crystaline carbon. It is fairly cheap and works very well against most armors. Shields, however, are a problem.";"1.292";"1,00";"0,05";"0,04";"0,00";"100";"";"0,00";"true";"112";"0,07"
"187";"83";"Nuclear M";"Medium Projectile Ammo. Nuclear weapons are considered by most races to be crude and primitive. However, the Minmatar still favor them over more sophisticated weapons due to the abundance of materials for plutonium production in Minmatar space. Used In Medium Projectile Weapons";"1.296";"1,00";"0,05";"0,04";"0,00";"100";"";"0,00";"true";"112";"0,07"
"188";"83";"Proton M";"Medium Projectile Ammo. Emits a focused, high intensity proton burst upon impact. Fairly effective vs. both shields and armor.Used In Medium Projectile Weapons";"1.298";"1,00";"1,00";"0,03";"0,00";"100";"";"0,00";"true";"112";"0,07"
"189";"83";"Depleted Uranium M";"Medium Projectile Ammo. Very commonly used by Minmatar pilots, this ammo is incendiary and also has great penetration. Just be careful handling it unless you want to wake up with an extra toe on your forehead.";"1.293";"1,00";"1,00";"0,03";"0,00";"100";"";"0,00";"true";"112";"0,07"
"190";"83";"Titanium Sabot M";"Medium Projectile Ammo. This is among the most feared ammunition around. It has excellent penetration. Once the ship's outer layer is penetrated, the core explodes, spraying the interior with a cloud of fragmentation fletchets that cause considerable damage to the vulnerable interior structure.Used In Medium Projectile Weapons";"1.299";"1,00";"1,00";"0,03";"0,00";"100";"";"0,00";"true";"112";"0,07"
"191";"83";"Fusion M";"Medium Projectile Ammo. The destructive power of a fusion warhead is superior to most other projectile warhead available. Has problems penetrating heavy shield systems.";"1.295";"1,00";"1,00";"0,04";"0,00";"100";"";"0,00";"true";"112";"0,07"
"192";"83";"Phased Plasma M";"Medium Projectile Ammo. This ammo uses a similar plasma containment core as hybrid charges except that it is mounted in a standard cannon shell.";"1.297";"1,00";"1,00";"0,04";"0,00";"100";"";"0,00";"true";"112";"0,07"
"193";"83";"EMP M";"Medium Projectile Ammo. A new technology, this highly advanced ammunition emits a focused EM pulse. Very potent against shields.";"1.294";"1,00";"1,00";"0,05";"0,00";"100";"";"0,00";"true";"112";"0,07"
"194";"83";"Carbonized Lead L";"Large Projectile Ammo. This ammo uses is a simple lead slug encased in a hard shell of crystaline carbon. It is fairly cheap and works very well against most armors. Shields, however, are a problem.";"1.300";"10,00";"1,00";"0,08";"0,00";"100";"";"0,00";"true";"109";"0,07"
"195";"83";"Nuclear L";"Large Projectile Ammo. Nuclear weapons are considered by most races to be crude and primitive. However, the Minmatar still favor them over more sophisticated weapons due to the abundance of materials for plutonium production in Minmatar space.";"1.304";"10,00";"1,00";"0,07";"0,00";"100";"";"0,00";"true";"109";"0,07"
"196";"83";"Proton L";"Large Projectile Ammo. Emits a focused, high intensity proton burst upon impact. Fairly effective vs. both shields and armor.";"1.306";"10,00";"1,00";"0,06";"0,00";"100";"";"0,00";"true";"109";"0,07"
"197";"83";"Depleted Uranium L";"Large Projectile Ammo. Very commonly used by Minmatar pilots, this ammo is incendiary and also has great penetration. Just be careful handling it unless you want to wake up with an extra toe on your forehead.";"1.301";"10,00";"1,00";"0,05";"0,00";"100";"";"0,00";"true";"109";"0,07"
"198";"83";"Titanium Sabot L";"Large Projectile Ammo. This is among the most feared ammunition around. It has excellent penetration. Once the ship's outer layer is penetrated, the core explodes, spraying the interior with a cloud of fragmentation fletchets that cause considerable damage to the vulnerable interior structure.";"1.307";"10,00";"1,00";"0,07";"0,00";"100";"";"0,00";"true";"109";"0,07"
"199";"83";"Fusion L";"Large Projectile Ammo. The destructive power of a fusion warhead is superior to most other projectile warhead available. Has problems penetrating heavy shield systems.";"1.303";"10,00";"1,00";"0,08";"0,00";"100";"";"0,00";"true";"109";"0,07"
"200";"83";"Phased Plasma L";"Large Projectile Ammo. This ammo uses a similar plasma containment core as hybrid charges except that it is mounted in a standard cannon shell.";"1.305";"10,00";"1,00";"0,09";"0,00";"100";"";"0,00";"true";"109";"0,07"
"201";"83";"EMP L";"Large Projectile Ammo. A new technology, this highly advanced ammunition emits a focused EM pulse. Very potent against shields.";"1.302";"10,00";"1,00";"0,10";"0,00";"100";"";"0,00";"true";"109";"0,07"
"202";"386";"Paradise Cruise Missile";"Extra heavy assault missile. The mother of all missiles, the Paradise delivers a tremendous payload, guaranteed to get its victims acquainted with their personal god in a quick, but painful manner.";"182";"300,00";"1.250,00";"0,10";"0,00";"100";"";"15.000,00";"false";"921";"0,07"
"203";"386";"Wrath Cruise Missile";"Extra heavy assault missile. The first and only Minmatar-made large missile. Constructed of reactionary alloys, the Wrath is built to get to the target. Guidance and propulsion systems are of Gallentean origin and were inititally used in drones, making Wrath fast and nimble despite its heavy payload.";"183";"300,00";"1.250,00";"0,10";"0,00";"100";"";"10.000,00";"false";"921";"0,07"
"204";"386";"Cataclysm Cruise Missile";"Extra heavy assault missile. An Amarrian large missile with good capabilities, the Cataclysm was for a long time confined solely to the Amarr armed forces, but exports began some years ago and the missile is now found throughout the universe.";"184";"300,00";"1.250,00";"0,10";"0,00";"100";"";"12.500,00";"false";"921";"0,07"
"205";"386";"Devastator Cruise Missile";"Extra heavy assault missile. A very basic missile for large launchers with reasonable payload. Utilizes the now sub-standard technology of bulls-eye guidance system.";"185";"300,00";"1.250,00";"0,10";"0,00";"100";"";"7.500,00";"false";"921";"0,07"
"206";"385";"Havoc Heavy Missile";"Heavy assault missile. The be-all-end-all of medium sized missiles, the Havoc is a must for those who want a guaranteed kill no matter the cost.";"186";"300,00";"1.000,00";"0,06";"0,00";"100";"";"2.000,00";"true";"924";"0,07"
"207";"385";"Thunderbolt Heavy Missile";"Heavy assault missile. Recently introduced by the armaments lab of the Wiyrkomi Corporation, the Thunderbolt is a solid investment with a large payload and steady performance.";"187";"300,00";"1.000,00";"0,06";"0,00";"100";"";"3.500,00";"true";"924";"0,07"
"208";"385";"Widowmaker Heavy Missile";"Heavy assault missile. Originally designed as a 'finisher' - the killing blow to a crippled ship - the Widowmaker has since gone through various technological upgrades. The latest version has a lighter payload than the original, but much improved guidance systems.";"188";"300,00";"1.000,00";"0,06";"0,00";"100";"";"3.000,00";"true";"924";"0,07"
"209";"385";"Scourge Heavy Missile";"Heavy assault missile. The Scourge is an old relic from the Caldari-Gallente War that is still in widespread use because of its low price and versatility.";"189";"300,00";"1.000,00";"0,06";"0,00";"100";"";"2.500,00";"true";"924";"0,07"
"210";"384";"Bloodclaw Light Missile";"Light assault missile. Fresh out of the Minmatar design labs, the Bloodclaw has quickly established itself throughout the galaxy as the ultimate missile for small launchers.";"190";"300,00";"700,00";"0,03";"0,00";"100";"";"0,00";"true";"920";"0,07"
"211";"384";"Flameburst Light Missile";"Light assault missile. The explosion the Flameburst missile creates upon impact is stunning enough for any display of fireworks - just ten times more deadly. Its warhead's primary function is to destroy armor.";"191";"300,00";"700,00";"0,03";"0,00";"100";"";"0,00";"false";"920";"0,07"
"212";"384";"Sabretooth Light Missile";"Light assault missile. An advanced missile with a volatile payload of magnetized plasma, the Sabretooth is a multi-purpose missile specifically engineered to take down shield systems.";"192";"300,00";"700,00";"0,03";"0,00";"100";"";"0,00";"true";"920";"0,07"
"213";"384";"Piranha Light Missile";"Light assault missile. The Piranha is a tiny nuclear missile based on a classic Minmatar design that has been in use since the early days of the Minmatar Resistance.";"193";"300,00";"700,00";"0,03";"0,00";"100";"";"0,00";"false";"920";"0,07"
"215";"85";"Iron Charge S";"Consists of two components: a shell of titanium and a core of iron atoms suspended in a plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.311";"1,00";"0,01";"0,01";"0,00";"100";"";"0,00";"true";"107";"0,07"
"216";"85";"Tungsten Charge S";"Consists of two components: a shell of titanium and a core of tungsten atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.315";"1,00";"0,01";"0,01";"0,00";"100";"";"0,00";"true";"107";"0,07"
"217";"85";"Iridium Charge S";"Consists of two components: a shell of titanium and a core of iridium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.310";"1,00";"0,01";"0,01";"0,00";"100";"";"0,00";"true";"107";"0,07"
"218";"85";"Lead Charge S";"Consists of two components: a shell of titanium and a core of lead atoms suspended in a plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.312";"1,00";"0,01";"0,01";"0,00";"100";"";"0,00";"true";"107";"0,07"
"219";"85";"Thorium Charge S";"Consists of two components: a shell of titanium and a core of thorium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.314";"10,00";"0,01";"0,01";"0,00";"100";"";"0,00";"true";"107";"0,07"
"220";"85";"Uranium Charge S";"Consists of two components: a shell of titanium and a core of uranium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.316";"1,00";"0,01";"0,01";"0,00";"100";"";"0,00";"true";"107";"0,07"
"221";"85";"Plutonium Charge S";"Consists of two components: a shell of titanium and a core of plutonium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.313";"1,00";"0,01";"0,01";"0,00";"100";"";"0,00";"true";"107";"0,07"
"222";"85";"Antimatter Charge S";"Consists of two components: a shell of titanium and a core of antimatter atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.047";"1,00";"0,01";"0,01";"0,00";"100";"";"0,00";"true";"107";"0,07"
"223";"85";"Iron Charge M";"Consists of two components: a shell of titanium and a core of iron atoms suspended in a plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.319";"1,00";"0,05";"0,05";"0,00";"100";"";"0,00";"true";"108";"0,07"
"224";"85";"Tungsten Charge M";"Consists of two components: a shell of titanium and a core of tungsten atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.323";"1,00";"0,05";"0,05";"0,00";"100";"";"0,00";"true";"108";"0,07"
"225";"85";"Iridium Charge M";"Consists of two components: a shell of titanium and a core of iridium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.318";"1,00";"0,05";"0,05";"0,00";"100";"";"0,00";"true";"108";"0,07"
"226";"85";"Lead Charge M";"Consists of two components: a shell of titanium and a core of lead atoms suspended in a plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.320";"1,00";"0,05";"0,05";"1,00";"100";"";"0,00";"true";"108";"0,07"
"227";"85";"Thorium Charge M";"Consists of two components: a shell of titanium and a core of thorium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.322";"1,00";"0,05";"0,05";"0,00";"100";"";"0,00";"true";"108";"0,07"
"228";"85";"Uranium Charge M";"Consists of two components: a shell of titanium and a core of uranium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.324";"1,00";"0,05";"0,05";"0,00";"100";"";"0,00";"true";"108";"0,07"
"229";"85";"Plutonium Charge M";"Consists of two components: a shell of titanium and a core of plutonium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.321";"1,00";"0,05";"0,05";"0,00";"100";"";"0,00";"true";"108";"0,07"
"230";"85";"Antimatter Charge M";"Consists of two components: a shell of titanium and a core of antimatter atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.317";"1,00";"0,05";"0,05";"0,00";"100";"";"0,00";"true";"108";"0,07"
"231";"85";"Iron Charge L";"Consists of two components: a shell of titanium and a core of iron atoms suspended in a plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.327";"10,00";"0,10";"0,10";"0,00";"100";"";"0,00";"true";"106";"0,07"
"232";"85";"Tungsten Charge L";"Consists of two components: a shell of titanium and a core of tungsten atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.331";"10,00";"0,10";"0,10";"0,00";"100";"";"0,00";"true";"106";"0,07"
"233";"85";"Iridium Charge L";"Consists of two components: a shell of titanium and a core of iridium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.326";"10,00";"0,10";"0,10";"0,00";"100";"";"0,00";"true";"106";"0,07"
"234";"85";"Lead Charge L";"Consists of two components: a shell of titanium and a core of lead atoms suspended in a plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.328";"10,00";"0,10";"0,10";"0,00";"100";"";"0,00";"true";"106";"0,07"
"235";"85";"Thorium Charge L";"Consists of two components: a shell of titanium and a core of thorium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.330";"1,00";"0,10";"0,10";"0,00";"100";"";"0,00";"true";"106";"0,07"
"236";"85";"Uranium Charge L";"Consists of two components: a shell of titanium and a core of uranium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.332";"10,00";"0,10";"0,10";"0,00";"100";"";"0,00";"true";"106";"0,07"
"237";"85";"Plutonium Charge L";"Consists of two components: a shell of titanium and a core of plutonium atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.329";"10,00";"0,10";"0,10";"0,00";"100";"";"0,00";"true";"106";"0,07"
"238";"85";"Antimatter Charge L";"Consists of two components: a shell of titanium and a core of antimatter atoms suspended in plasma state. Railguns launch the shell directly, while particle blasters pump the plasma into a cyclotron and process the plasma into a bolt that is then fired.";"1.325";"10,00";"0,10";"0,10";"0,00";"100";"";"0,00";"true";"106";"0,07"
"239";"86";"Radio S";"Modulates the beam of a laser weapon into the radio frequencies. Greatly improved range. Greatly increased EM damage.";"1.145";"1,00";"1,00";"1,00";"0,00";"1";"";"0,00";"true";"102";"0,07"
"240";"86";"Microwave S";"Modulates the beam of a laser weapon into the microwave frequencies. Improved range. Increased EM damage.";"1.143";"1,00";"1,00";"1,00";"0,00";"1";"";"0,00";"false";"102";"0,07"
"241";"86";"Infrared S";"Modulates the beam of a laser weapon into the infrared frequencies. Slightly improved range. Slightly increased EM damage.";"1.144";"1,00";"1,00";"1,00";"0,00";"1";"";"0,00";"true";"102";"0,07"
"242";"86";"Standard S";"Modulates the beam of a laser weapon into the visible light spectrum.";"1.142";"1,00";"1,00";"1,00";"0,00";"1";"";"0,00";"true";"102";"0,07"
"243";"86";"Ultraviolet S";"Modulates the beam of a laser weapon into the ultraviolet frequencies. Slightly reduced range. Slightly increased thermal damage.";"1.141";"1,00";"1,00";"1,00";"0,00";"1";"";"0,00";"true";"102";"0,07"
"244";"86";"Xray S";"Modulates the beam of a laser weapon into the xray frequencies. Reduced range. Increased thermal damage.";"1.140";"1,00";"1,00";"1,00";"0,00";"1";"";"0,00";"true";"102";"0,07"
"245";"86";"Gamma S";"Modulates the beam of a laser weapon into the gamma frequencies. Greatly reduced range. Greatly increased thermal damage.";"1.139";"1,00";"1,00";"1,00";"0,00";"1";"";"0,00";"true";"102";"0,07"
