"fromRegionID";"fromConstellationID";"fromSolarSystemID";"toSolarSystemID";"toConstellationID";"toRegionID"
"10.000.001";"20.000.005";"30.000.032";"30.000.005";"20.000.001";"10.000.001"
"10.000.001";"20.000.005";"30.000.032";"30.000.033";"20.000.005";"10.000.001"
"10.000.001";"20.000.005";"30.000.032";"30.000.034";"20.000.005";"10.000.001"
"10.000.001";"20.000.005";"30.000.033";"30.000.031";"20.000.005";"10.000.001"
"10.000.001";"20.000.005";"30.000.033";"30.000.032";"20.000.005";"10.000.001"
"10.000.001";"20.000.005";"30.000.034";"30.000.032";"20.000.005";"10.000.001"
"10.000.001";"20.000.005";"30.000.035";"30.000.031";"20.000.005";"10.000.001"
"10.000.001";"20.000.005";"30.000.035";"30.000.036";"20.000.005";"10.000.001"
"10.000.001";"20.000.005";"30.000.035";"30.000.114";"20.000.016";"10.000.001"
"10.000.001";"20.000.005";"30.000.036";"30.000.035";"20.000.005";"10.000.001"
"10.000.001";"20.000.005";"30.000.036";"30.000.037";"20.000.005";"10.000.001"
"10.000.001";"20.000.005";"30.000.037";"30.000.036";"20.000.005";"10.000.001"
"10.000.001";"20.000.005";"30.000.037";"30.002.508";"20.000.367";"10.000.030"
"10.000.001";"20.000.006";"30.000.038";"30.000.011";"20.000.002";"10.000.001"
"10.000.001";"20.000.006";"30.000.038";"30.000.039";"20.000.006";"10.000.001"
"10.000.001";"20.000.006";"30.000.038";"30.000.040";"20.000.006";"10.000.001"
"10.000.001";"20.000.006";"30.000.038";"30.000.043";"20.000.006";"10.000.001"
"10.000.001";"20.000.006";"30.000.039";"30.000.038";"20.000.006";"10.000.001"
"10.000.001";"20.000.006";"30.000.039";"30.000.040";"20.000.006";"10.000.001"
"10.000.001";"20.000.006";"30.000.039";"30.000.041";"20.000.006";"10.000.001"
"10.000.001";"20.000.006";"30.000.040";"30.000.038";"20.000.006";"10.000.001"
"10.000.001";"20.000.006";"30.000.040";"30.000.039";"20.000.006";"10.000.001"
"10.000.001";"20.000.006";"30.000.040";"30.000.043";"20.000.006";"10.000.001"
"10.000.001";"20.000.006";"30.000.041";"30.000.039";"20.000.006";"10.000.001"
"10.000.001";"20.000.006";"30.000.041";"30.000.042";"20.000.006";"10.000.001"
"10.000.001";"20.000.006";"30.000.042";"30.000.041";"20.000.006";"10.000.001"
"10.000.001";"20.000.006";"30.000.043";"30.000.038";"20.000.006";"10.000.001"
"10.000.001";"20.000.006";"30.000.043";"30.000.040";"20.000.006";"10.000.001"
"10.000.001";"20.000.006";"30.000.043";"30.000.100";"20.000.014";"10.000.001"
"10.000.001";"20.000.007";"30.000.044";"30.000.045";"20.000.007";"10.000.001"
"10.000.001";"20.000.007";"30.000.044";"30.000.046";"20.000.007";"10.000.001"
"10.000.001";"20.000.007";"30.000.045";"30.000.044";"20.000.007";"10.000.001"
"10.000.001";"20.000.007";"30.000.045";"30.000.046";"20.000.007";"10.000.001"
"10.000.001";"20.000.007";"30.000.045";"30.000.048";"20.000.007";"10.000.001"
"10.000.001";"20.000.007";"30.000.045";"30.000.049";"20.000.007";"10.000.001"
"10.000.001";"20.000.007";"30.000.046";"30.000.015";"20.000.002";"10.000.001"
"10.000.001";"20.000.007";"30.000.046";"30.000.044";"20.000.007";"10.000.001"
"10.000.001";"20.000.007";"30.000.046";"30.000.045";"20.000.007";"10.000.001"
"10.000.001";"20.000.007";"30.000.046";"30.000.047";"20.000.007";"10.000.001"
"10.000.001";"20.000.007";"30.000.046";"30.000.048";"20.000.007";"10.000.001"
"10.000.001";"20.000.007";"30.000.047";"30.000.046";"20.000.007";"10.000.001"
"10.000.001";"20.000.007";"30.000.047";"30.000.050";"20.000.007";"10.000.001"
"10.000.001";"20.000.007";"30.000.048";"30.000.045";"20.000.007";"10.000.001"
"10.000.001";"20.000.007";"30.000.048";"30.000.046";"20.000.007";"10.000.001"
"10.000.001";"20.000.007";"30.000.048";"30.000.106";"20.000.015";"10.000.001"
"10.000.001";"20.000.007";"30.000.049";"30.000.045";"20.000.007";"10.000.001"
"10.000.001";"20.000.007";"30.000.050";"30.000.047";"20.000.007";"10.000.001"
"10.000.001";"20.000.008";"30.000.051";"30.000.052";"20.000.008";"10.000.001"
"10.000.001";"20.000.008";"30.000.051";"30.000.053";"20.000.008";"10.000.001"
"10.000.001";"20.000.008";"30.000.051";"30.000.056";"20.000.008";"10.000.001"
"10.000.001";"20.000.008";"30.000.051";"30.000.109";"20.000.015";"10.000.001"
"10.000.001";"20.000.008";"30.000.052";"30.000.003";"20.000.001";"10.000.001"
"10.000.001";"20.000.008";"30.000.052";"30.000.051";"20.000.008";"10.000.001"
"10.000.001";"20.000.008";"30.000.052";"30.000.053";"20.000.008";"10.000.001"
"10.000.001";"20.000.008";"30.000.052";"30.000.054";"20.000.008";"10.000.001"
"10.000.001";"20.000.008";"30.000.052";"30.000.055";"20.000.008";"10.000.001"
"10.000.001";"20.000.008";"30.000.053";"30.000.051";"20.000.008";"10.000.001"
"10.000.001";"20.000.008";"30.000.053";"30.000.052";"20.000.008";"10.000.001"
"10.000.001";"20.000.008";"30.000.054";"30.000.052";"20.000.008";"10.000.001"
"10.000.001";"20.000.008";"30.000.054";"30.000.055";"20.000.008";"10.000.001"
"10.000.001";"20.000.008";"30.000.055";"30.000.052";"20.000.008";"10.000.001"
"10.000.001";"20.000.008";"30.000.055";"30.000.054";"20.000.008";"10.000.001"
"10.000.001";"20.000.008";"30.000.056";"30.000.051";"20.000.008";"10.000.001"
"10.000.001";"20.000.009";"30.000.057";"30.000.008";"20.000.001";"10.000.001"
"10.000.001";"20.000.009";"30.000.057";"30.000.058";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.057";"30.000.061";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.057";"30.000.068";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.058";"30.000.057";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.058";"30.000.059";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.058";"30.000.068";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.058";"30.000.105";"20.000.014";"10.000.001"
"10.000.001";"20.000.009";"30.000.059";"30.000.058";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.059";"30.000.060";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.060";"30.000.059";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.060";"30.000.062";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.060";"30.000.063";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.060";"30.000.065";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.061";"30.000.057";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.062";"30.000.060";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.062";"30.000.065";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.062";"30.000.067";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.063";"30.000.060";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.063";"30.000.064";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.063";"30.000.069";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.064";"30.000.028";"20.000.004";"10.000.001"
"10.000.001";"20.000.009";"30.000.064";"30.000.063";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.064";"30.000.066";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.064";"30.000.069";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.065";"30.000.060";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.065";"30.000.062";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.065";"30.000.067";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.065";"30.000.118";"20.000.016";"10.000.001"
"10.000.001";"20.000.009";"30.000.066";"30.000.064";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.066";"30.000.069";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.067";"30.000.062";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.067";"30.000.065";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.068";"30.000.057";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.068";"30.000.058";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.069";"30.000.063";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.069";"30.000.064";"20.000.009";"10.000.001"
"10.000.001";"20.000.009";"30.000.069";"30.000.066";"20.000.009";"10.000.001"
"10.000.001";"20.000.010";"30.000.070";"30.000.073";"20.000.010";"10.000.001"
"10.000.001";"20.000.010";"30.000.070";"30.000.074";"20.000.010";"10.000.001"
"10.000.001";"20.000.010";"30.000.070";"30.000.075";"20.000.010";"10.000.001"
"10.000.001";"20.000.010";"30.000.070";"30.000.085";"20.000.012";"10.000.001"
"10.000.001";"20.000.010";"30.000.071";"30.000.074";"20.000.010";"10.000.001"
"10.000.001";"20.000.010";"30.000.072";"30.000.074";"20.000.010";"10.000.001"
"10.000.001";"20.000.010";"30.000.072";"30.000.075";"20.000.010";"10.000.001"
"10.000.001";"20.000.010";"30.000.072";"30.002.982";"20.000.437";"10.000.036"
"10.000.001";"20.000.010";"30.000.073";"30.000.012";"20.000.002";"10.000.001"
"10.000.001";"20.000.010";"30.000.073";"30.000.070";"20.000.010";"10.000.001"
"10.000.001";"20.000.010";"30.000.073";"30.000.085";"20.000.012";"10.000.001"
"10.000.001";"20.000.010";"30.000.074";"30.000.070";"20.000.010";"10.000.001"
"10.000.001";"20.000.010";"30.000.074";"30.000.071";"20.000.010";"10.000.001"
"10.000.001";"20.000.010";"30.000.074";"30.000.072";"20.000.010";"10.000.001"
"10.000.001";"20.000.010";"30.000.074";"30.000.075";"20.000.010";"10.000.001"
"10.000.001";"20.000.010";"30.000.075";"30.000.070";"20.000.010";"10.000.001"
"10.000.001";"20.000.010";"30.000.075";"30.000.072";"20.000.010";"10.000.001"
"10.000.001";"20.000.010";"30.000.075";"30.000.074";"20.000.010";"10.000.001"
"10.000.001";"20.000.010";"30.000.075";"30.003.703";"20.000.540";"10.000.047"
"10.000.001";"20.000.011";"30.000.076";"30.000.008";"20.000.001";"10.000.001"
"10.000.001";"20.000.011";"30.000.076";"30.000.077";"20.000.011";"10.000.001"
"10.000.001";"20.000.011";"30.000.076";"30.000.079";"20.000.011";"10.000.001"
"10.000.001";"20.000.011";"30.000.077";"30.000.076";"20.000.011";"10.000.001"
"10.000.001";"20.000.011";"30.000.077";"30.000.078";"20.000.011";"10.000.001"
"10.000.001";"20.000.011";"30.000.077";"30.000.080";"20.000.011";"10.000.001"
"10.000.001";"20.000.011";"30.000.078";"30.000.077";"20.000.011";"10.000.001"
"10.000.001";"20.000.011";"30.000.078";"30.000.080";"20.000.011";"10.000.001"
"10.000.001";"20.000.011";"30.000.079";"30.000.076";"20.000.011";"10.000.001"
"10.000.001";"20.000.011";"30.000.080";"30.000.077";"20.000.011";"10.000.001"
"10.000.001";"20.000.011";"30.000.080";"30.000.078";"20.000.011";"10.000.001"
"10.000.001";"20.000.011";"30.000.080";"30.000.081";"20.000.011";"10.000.001"
"10.000.001";"20.000.011";"30.000.081";"30.000.080";"20.000.011";"10.000.001"
"10.000.001";"20.000.012";"30.000.082";"30.000.083";"20.000.012";"10.000.001"
"10.000.001";"20.000.012";"30.000.082";"30.000.084";"20.000.012";"10.000.001"
"10.000.001";"20.000.012";"30.000.082";"30.000.085";"20.000.012";"10.000.001"
"10.000.001";"20.000.012";"30.000.083";"30.000.082";"20.000.012";"10.000.001"
"10.000.001";"20.000.012";"30.000.083";"30.000.087";"20.000.012";"10.000.001"
"10.000.001";"20.000.012";"30.000.084";"30.000.003";"20.000.001";"10.000.001"
"10.000.001";"20.000.012";"30.000.084";"30.000.082";"20.000.012";"10.000.001"
"10.000.001";"20.000.012";"30.000.084";"30.000.086";"20.000.012";"10.000.001"
"10.000.001";"20.000.012";"30.000.085";"30.000.070";"20.000.010";"10.000.001"
"10.000.001";"20.000.012";"30.000.085";"30.000.073";"20.000.010";"10.000.001"
"10.000.001";"20.000.012";"30.000.085";"30.000.082";"20.000.012";"10.000.001"
"10.000.001";"20.000.012";"30.000.085";"30.000.086";"20.000.012";"10.000.001"
"10.000.001";"20.000.012";"30.000.085";"30.000.107";"20.000.015";"10.000.001"
"10.000.001";"20.000.012";"30.000.086";"30.000.084";"20.000.012";"10.000.001"
"10.000.001";"20.000.012";"30.000.086";"30.000.085";"20.000.012";"10.000.001"
"10.000.001";"20.000.012";"30.000.087";"30.000.083";"20.000.012";"10.000.001"
"10.000.001";"20.000.012";"30.000.087";"30.000.088";"20.000.012";"10.000.001"
"10.000.001";"20.000.012";"30.000.088";"30.000.087";"20.000.012";"10.000.001"
"10.000.001";"20.000.013";"30.000.089";"30.000.090";"20.000.013";"10.000.001"
"10.000.001";"20.000.013";"30.000.089";"30.000.091";"20.000.013";"10.000.001"
"10.000.001";"20.000.013";"30.000.089";"30.000.092";"20.000.013";"10.000.001"
"10.000.001";"20.000.013";"30.000.090";"30.000.014";"20.000.002";"10.000.001"
"10.000.001";"20.000.013";"30.000.090";"30.000.089";"20.000.013";"10.000.001"
"10.000.001";"20.000.013";"30.000.090";"30.000.093";"20.000.013";"10.000.001"
"10.000.001";"20.000.013";"30.000.091";"30.000.089";"20.000.013";"10.000.001"
"10.000.001";"20.000.013";"30.000.092";"30.000.089";"20.000.013";"10.000.001"
"10.000.001";"20.000.013";"30.000.092";"30.000.094";"20.000.013";"10.000.001"
"10.000.001";"20.000.013";"30.000.093";"30.000.090";"20.000.013";"10.000.001"
"10.000.001";"20.000.013";"30.000.094";"30.000.092";"20.000.013";"10.000.001"
"10.000.001";"20.000.014";"30.000.095";"30.000.097";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.095";"30.000.102";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.096";"30.000.097";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.097";"30.000.095";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.097";"30.000.096";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.097";"30.000.098";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.097";"30.000.100";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.098";"30.000.014";"20.000.002";"10.000.001"
"10.000.001";"20.000.014";"30.000.098";"30.000.097";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.098";"30.000.099";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.098";"30.000.102";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.099";"30.000.098";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.099";"30.000.101";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.099";"30.000.102";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.099";"30.000.103";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.100";"30.000.043";"20.000.006";"10.000.001"
"10.000.001";"20.000.014";"30.000.100";"30.000.097";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.101";"30.000.099";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.101";"30.000.103";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.101";"30.000.105";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.102";"30.000.095";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.102";"30.000.098";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.102";"30.000.099";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.102";"30.000.104";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.103";"30.000.099";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.103";"30.000.101";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.104";"30.000.102";"20.000.014";"10.000.001"
"10.000.001";"20.000.014";"30.000.105";"30.000.058";"20.000.009";"10.000.001"
"10.000.001";"20.000.014";"30.000.105";"30.000.101";"20.000.014";"10.000.001"
"10.000.001";"20.000.015";"30.000.106";"30.000.048";"20.000.007";"10.000.001"
"10.000.001";"20.000.015";"30.000.106";"30.000.107";"20.000.015";"10.000.001"
"10.000.001";"20.000.015";"30.000.106";"30.000.109";"20.000.015";"10.000.001"
"10.000.001";"20.000.015";"30.000.107";"30.000.085";"20.000.012";"10.000.001"
"10.000.001";"20.000.015";"30.000.107";"30.000.106";"20.000.015";"10.000.001"
"10.000.001";"20.000.015";"30.000.107";"30.000.108";"20.000.015";"10.000.001"
"10.000.001";"20.000.015";"30.000.107";"30.000.110";"20.000.015";"10.000.001"
"10.000.001";"20.000.015";"30.000.107";"30.000.111";"20.000.015";"10.000.001"
"10.000.001";"20.000.015";"30.000.108";"30.000.107";"20.000.015";"10.000.001"
"10.000.001";"20.000.015";"30.000.108";"30.000.111";"20.000.015";"10.000.001"
"10.000.001";"20.000.015";"30.000.109";"30.000.051";"20.000.008";"10.000.001"
"10.000.001";"20.000.015";"30.000.109";"30.000.106";"20.000.015";"10.000.001"
"10.000.001";"20.000.015";"30.000.109";"30.000.110";"20.000.015";"10.000.001"
"10.000.001";"20.000.015";"30.000.109";"30.000.111";"20.000.015";"10.000.001"
"10.000.001";"20.000.015";"30.000.110";"30.000.107";"20.000.015";"10.000.001"
"10.000.001";"20.000.015";"30.000.110";"30.000.109";"20.000.015";"10.000.001"
"10.000.001";"20.000.015";"30.000.111";"30.000.107";"20.000.015";"10.000.001"
"10.000.001";"20.000.015";"30.000.111";"30.000.108";"20.000.015";"10.000.001"
"10.000.001";"20.000.015";"30.000.111";"30.000.109";"20.000.015";"10.000.001"
"10.000.001";"20.000.016";"30.000.112";"30.000.030";"20.000.004";"10.000.001"
"10.000.001";"20.000.016";"30.000.112";"30.000.113";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.112";"30.000.118";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.113";"30.000.112";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.113";"30.000.114";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.113";"30.000.115";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.113";"30.000.116";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.113";"30.000.117";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.114";"30.000.035";"20.000.005";"10.000.001"
"10.000.001";"20.000.016";"30.000.114";"30.000.113";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.114";"30.000.115";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.114";"30.000.116";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.114";"30.000.117";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.115";"30.000.113";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.115";"30.000.114";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.115";"30.000.116";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.115";"30.000.117";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.116";"30.000.113";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.116";"30.000.114";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.116";"30.000.115";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.116";"30.002.395";"20.000.351";"10.000.028"
"10.000.001";"20.000.016";"30.000.117";"30.000.113";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.117";"30.000.114";"20.000.016";"10.000.001"
"10.000.001";"20.000.016";"30.000.117";"30.000.115";"20.000.016";"10.000.001"
