"regionID";"constellationID";"solarSystemID";"solarSystemName";"x";"y";"z";"xMin";"xMax";"yMin";"yMax";"zMin";"zMax";"luminosity";"border";"fringe";"corridor";"hub";"international";"regional";"constellation";"security";"factionID";"radius";"sunTypeID";"securityClass";"allianceID"
"10.000.001";"20.000.002";"30.000.011";"Shenela";"-69.575.463.334.855.200,00";"57.122.325.440.514.700,00";"80.659.835.202.844.600,00";"-69.575.636.549.884.600,00";"-69.574.314.401.968.300,00";"57.122.244.402.671.000,00";"57.122.337.658.314.500,00";"80.657.805.639.471.100,00";"80.660.396.791.719.700,00";"0,01";"true";"false";"true";"false";"false";"false";"true";"0,46";"";"1.295.576.124.296,00";"3.800";"B1";""
"10.000.001";"20.000.002";"30.000.012";"Asabona";"-88.787.078.299.773.200,00";"57.530.354.513.983.700,00";"96.309.075.103.911.500,00";"-88.791.397.390.007.200,00";"-88.786.201.909.693.400,00";"57.530.255.526.273.200,00";"57.530.842.192.169.500,00";"96.307.390.631.301.800,00";"96.313.541.534.761.100,00";"0,71";"true";"false";"true";"false";"false";"false";"true";"0,32";"";"3.075.451.729.664,00";"3.799";"B2";""
"10.000.001";"20.000.002";"30.000.013";"Onsooh";"-81.778.742.628.362.000,00";"60.252.693.661.956.900,00";"86.635.426.626.176.700,00";"-81.778.794.870.618.000,00";"-81.775.151.649.602.800,00";"60.252.536.029.999.900,00";"60.252.695.963.483.300,00";"86.629.107.367.242.600,00";"86.636.044.338.568.900,00";"0,98";"false";"false";"false";"true";"false";"false";"false";"0,44";"";"3.468.485.663.152,00";"6";"B2";""
"10.000.001";"20.000.002";"30.000.014";"Shamahi";"-77.750.709.738.421.100,00";"71.722.533.435.110.300,00";"87.922.010.890.003.900,00";"-77.752.375.313.506.200,00";"-77.748.220.595.916.900,00";"71.722.505.254.969.400,00";"71.722.575.240.330.400,00";"87.919.461.416.316.100,00";"87.928.237.639.952.400,00";"0,57";"true";"false";"false";"true";"false";"false";"true";"0,36";"";"4.388.111.818.136,00";"3.797";"B2";""
"10.000.001";"20.000.002";"30.000.015";"Sendaya";"-75.035.885.475.239.800,00";"47.720.998.612.000.000,00";"95.172.408.294.045.200,00";"-75.036.302.944.088.800,00";"-75.034.909.947.497.000,00";"47.720.939.042.647.100,00";"47.721.024.107.019.200,00";"95.169.889.007.283.400,00";"95.175.559.279.052.900,00";"0,08";"true";"false";"false";"true";"false";"false";"true";"0,29";"";"2.835.135.884.784,00";"3.798";"B2";""
"10.000.001";"20.000.002";"30.000.016";"Nazhgete";"-83.631.155.296.696.900,00";"63.723.785.397.160.300,00";"89.813.789.948.513.900,00";"-83.631.552.142.160.000,00";"-83.628.790.224.378.300,00";"63.723.771.871.163.700,00";"63.723.864.808.341.900,00";"89.813.616.892.692.800,00";"89.816.445.093.532.000,00";"0,01";"false";"true";"false";"false";"false";"false";"false";"0,39";"";"1.414.100.419.584,00";"3.800";"B2";""
"10.000.001";"20.000.003";"30.000.017";"Futzchag";"-64.098.583.968.529.500,00";"41.271.973.465.565.200,00";"101.139.230.377.519.000,00";"-64.100.883.467.061.800,00";"-64.092.617.515.336.900,00";"41.271.618.432.199.800,00";"41.272.899.328.770.000,00";"101.138.522.286.681.000,00";"101.143.066.585.587.000,00";"0,79";"false";"false";"false";"true";"false";"false";"false";"0,17";"";"4.132.975.862.416,00";"3.801";"B3";""
"10.000.001";"20.000.003";"30.000.018";"Kazna";"-70.142.424.691.246.200,00";"38.488.582.153.190.400,00";"96.720.410.106.924.400,00";"-70.146.352.582.011.000,00";"-70.141.340.342.553.200,00";"38.488.413.727.223.500,00";"38.489.192.249.684.300,00";"96.717.292.294.777.400,00";"96.720.853.302.116.000,00";"1,50";"true";"false";"false";"true";"false";"false";"true";"0,23";"";"2.506.119.728.892,00";"3.799";"B3";""
"10.000.001";"20.000.003";"30.000.019";"Podion";"-58.709.857.801.616.300,00";"26.044.509.386.392.200,00";"101.528.995.159.068.000,00";"-58.710.367.381.959.100,00";"-58.709.380.756.752.800,00";"26.044.417.015.128.700,00";"26.044.595.861.270.300,00";"101.527.134.943.693.000,00";"101.532.375.865.627.000,00";"0,08";"false";"true";"false";"false";"false";"false";"false";"0,11";"";"2.620.460.967.184,00";"3.798";"B3";""
"10.000.001";"20.000.003";"30.000.020";"Lilmad";"-72.855.380.319.923.900,00";"52.909.926.114.435.800,00";"108.165.273.935.480.000,00";"-72.858.106.676.096.200,00";"-72.847.571.590.350.300,00";"52.908.524.213.109.700,00";"52.910.418.067.027.800,00";"108.164.428.690.670.000,00";"108.170.125.189.104.000,00";"1,17";"false";"true";"false";"false";"false";"false";"false";"0,16";"";"5.267.542.872.992,00";"3.797";"B3";""
"10.000.001";"20.000.003";"30.000.021";"Kuharah";"-74.379.810.853.747.800,00";"32.538.969.531.086.900,00";"100.531.188.490.154.000,00";"-74.384.595.923.122.000,00";"-74.377.722.856.504.900,00";"32.538.644.411.469.600,00";"32.539.111.294.772.300,00";"100.529.648.275.429.000,00";"100.540.345.633.738.000,00";"2,57";"false";"false";"true";"false";"false";"false";"false";"0,19";"";"5.348.679.154.648,00";"9";"B3";""
"10.000.001";"20.000.003";"30.000.022";"Jayneleb";"-60.839.427.954.196.600,00";"33.031.790.950.289.300,00";"105.458.726.104.477.000,00";"-60.846.589.878.312.900,00";"-60.834.801.964.736.000,00";"33.031.148.123.022.600,00";"33.032.207.063.566.300,00";"105.454.773.421.070.000,00";"105.462.448.629.452.000,00";"0,14";"false";"false";"true";"false";"false";"false";"false";"0,11";"";"5.893.956.788.464,00";"7";"B3";""
"10.000.001";"20.000.004";"30.000.023";"Fovihi";"-81.553.344.112.251.200,00";"50.451.257.411.607.400,00";"51.154.633.880.983.600,00";"-81.554.719.363.490.900,00";"-81.553.223.632.203.500,00";"50.451.104.540.208.800,00";"50.451.270.856.471.100,00";"51.150.013.792.930.500,00";"51.155.952.361.428.800,00";"1,08";"true";"false";"false";"true";"false";"false";"true";"0,87";"";"2.969.284.249.148,00";"9";"B";""
"10.000.001";"20.000.004";"30.000.024";"Kiereend";"-77.479.080.911.142.800,00";"51.134.179.715.466.900,00";"47.885.233.482.498.200,00";"-77.479.736.282.401.500,00";"-77.478.874.101.251.700,00";"51.134.147.110.880.500,00";"51.134.283.002.162.800,00";"47.884.604.839.563.200,00";"47.887.530.200.825.100,00";"0,02";"false";"false";"false";"true";"false";"false";"false";"0,84";"";"1.462.680.630.932,00";"7";"B";""
"10.000.001";"20.000.004";"30.000.025";"Rashy";"-74.181.058.770.878.300,00";"50.998.790.158.899.700,00";"44.291.930.310.919.900,00";"-74.183.273.721.831.200,00";"-74.180.375.768.494.400,00";"50.998.574.081.360.200,00";"50.998.856.788.276.000,00";"44.287.302.661.417.600,00";"44.293.392.527.686.800,00";"0,13";"false";"false";"false";"true";"false";"false";"false";"0,80";"";"3.044.933.134.604,00";"7";"B";""
"10.000.001";"20.000.004";"30.000.026";"Ordize";"-66.874.602.332.344.000,00";"47.305.539.439.210.600,00";"41.604.451.379.855.100,00";"-66.879.408.587.107.900,00";"-66.872.843.811.045.000,00";"47.305.174.233.624.600,00";"47.305.673.060.244.000,00";"41.600.708.274.942.500,00";"41.610.186.873.257.900,00";"0,21";"false";"false";"false";"true";"false";"false";"false";"0,70";"";"4.739.299.157.720,00";"3.798";"B1";""
"10.000.001";"20.000.004";"30.000.027";"Psasa";"-72.183.885.785.340.300,00";"42.984.409.865.412.600,00";"45.081.203.993.618.400,00";"-72.187.475.500.435.300,00";"-72.183.514.569.166.200,00";"42.984.382.407.078.800,00";"42.984.412.715.680.300,00";"45.079.304.931.331.000,00";"45.081.426.788.826.700,00";"0,42";"false";"false";"false";"true";"false";"false";"false";"0,75";"";"1.980.465.634.544,00";"8";"B1";""
"10.000.001";"20.000.004";"30.000.028";"Eshtah";"-71.223.584.228.662.000,00";"50.752.785.941.188.900,00";"46.482.687.207.261.000,00";"-71.227.043.048.865.900,00";"-71.217.009.936.567.500,00";"50.751.495.459.745.600,00";"50.753.463.796.187.000,00";"46.482.340.943.580.400,00";"46.484.246.018.352.600,00";"0,15";"true";"false";"false";"true";"false";"false";"true";"0,77";"";"5.016.556.149.184,00";"7";"B";""
"10.000.001";"20.000.004";"30.000.029";"Lachailes";"-61.418.700.963.258.200,00";"39.508.226.756.646.300,00";"36.346.375.132.950.900,00";"-61.420.475.251.585.300,00";"-61.418.700.663.658.200,00";"39.508.226.457.046.300,00";"39.508.280.978.408.800,00";"36.346.248.678.604.000,00";"36.347.841.445.812.000,00";"0,13";"false";"false";"true";"false";"false";"false";"false";"0,57";"";"887.293.963.556,00";"6";"B1";""
"10.000.001";"20.000.004";"30.000.030";"Kasrasi";"-59.932.279.484.658.000,00";"43.233.411.197.129.300,00";"41.564.724.505.396.600,00";"-59.932.402.213.803.400,00";"-59.930.489.393.074.800,00";"43.233.081.024.525.000,00";"43.233.433.834.058.700,00";"41.562.713.143.121.600,00";"41.565.360.117.674.700,00";"0,16";"true";"false";"false";"true";"false";"false";"true";"0,57";"";"1.323.487.276.548,00";"6";"B1";""
"10.000.001";"20.000.005";"30.000.031";"Mohas";"-80.931.368.391.397.700,00";"26.612.451.671.200.700,00";"26.174.170.930.793.500,00";"-80.931.837.139.551.800,00";"-80.930.214.051.728.400,00";"26.612.382.705.341.400,00";"26.612.620.923.956.400,00";"26.173.234.348.555.400,00";"26.175.801.654.655.900,00";"0,02";"false";"false";"true";"false";"false";"false";"false";"0,68";"";"1.283.653.050.240,00";"7";"B1";""
"10.000.001";"20.000.005";"30.000.032";"Hasiari";"-87.895.710.227.609.500,00";"39.062.466.382.135.400,00";"26.800.575.462.533.400,00";"-87.897.713.531.994.500,00";"-87.894.126.356.762.500,00";"39.062.449.183.065.000,00";"39.062.488.136.458.200,00";"26.800.451.180.037.600,00";"26.802.251.912.518.900,00";"0,08";"true";"false";"false";"true";"false";"false";"true";"0,80";"";"1.793.587.616.000,00";"3.797";"B";""
"10.000.001";"20.000.005";"30.000.033";"Radima";"-86.669.709.447.701.800,00";"30.253.891.492.190.200,00";"23.109.218.639.605.200,00";"-86.671.225.467.868.400,00";"-86.663.806.353.775.600,00";"30.253.169.597.607.600,00";"30.254.078.146.926.400,00";"23.108.674.216.347.200,00";"23.111.736.228.151.000,00";"0,49";"false";"false";"true";"false";"false";"false";"false";"0,75";"";"3.709.557.046.400,00";"3.797";"B";""
"10.000.001";"20.000.005";"30.000.034";"Alkez";"-80.605.644.803.163.800,00";"36.589.580.336.539.300,00";"22.409.023.277.357.100,00";"-80.609.163.797.927.100,00";"-80.605.329.728.513.500,00";"36.589.537.572.663.500,00";"36.590.057.945.538.300,00";"22.406.313.559.613.700,00";"22.409.251.534.718.800,00";"0,06";"false";"true";"false";"false";"false";"false";"false";"0,78";"";"1.917.034.706.800,00";"7";"B";""
"10.000.001";"20.000.005";"30.000.035";"Nimambal";"-78.972.929.108.395.100,00";"22.021.695.733.766.400,00";"30.437.697.744.700.300,00";"-78.974.131.949.151.000,00";"-78.969.435.655.036.000,00";"22.021.057.088.713.300,00";"22.021.915.627.483.600,00";"30.436.115.280.282.000,00";"30.438.466.710.869.400,00";"0,17";"true";"false";"false";"true";"false";"false";"true";"0,59";"";"2.348.147.057.528,00";"6";"B1";""
"10.000.001";"20.000.005";"30.000.036";"Yishinoon";"-69.082.798.590.932.000,00";"15.194.641.371.952.600,00";"28.780.877.400.953.400,00";"-69.089.533.613.137.600,00";"-69.081.769.766.190.900,00";"15.194.614.362.048.100,00";"15.194.818.187.551.900,00";"28.780.199.606.184.800,00";"28.785.266.289.061.300,00";"2,26";"false";"false";"true";"false";"false";"false";"false";"0,42";"";"3.881.923.473.336,00";"3.801";"B2";""
"10.000.001";"20.000.005";"30.000.037";"Uplingur";"-66.223.420.001.743.000,00";"16.326.050.663.711.200,00";"25.730.407.026.952.500,00";"-66.229.063.366.368.600,00";"-66.223.131.966.336.200,00";"16.324.942.400.831.900,00";"16.326.107.229.697.100,00";"25.722.512.497.311.900,00";"25.730.463.503.132.500,00";"1,06";"true";"false";"true";"false";"true";"true";"true";"0,42";"";"3.975.502.910.314,00";"6";"B2";""
"10.000.001";"20.000.006";"30.000.038";"Dooz";"-62.127.277.592.377.600,00";"48.759.951.230.412.000,00";"77.061.875.158.752.100,00";"-62.127.754.165.912.900,00";"-62.126.039.906.992.200,00";"48.759.932.220.076.800,00";"48.760.000.600.426.100,00";"77.060.552.995.571.400,00";"77.062.218.978.977.900,00";"0,03";"true";"false";"false";"true";"false";"false";"true";"0,42";"";"857.129.460.388,00";"3.798";"B2";""
"10.000.001";"20.000.006";"30.000.039";"Bayuka";"-59.779.356.765.873.900,00";"39.123.118.951.290.300,00";"73.224.273.778.575.500,00";"-59.784.139.792.647.200,00";"-59.777.551.677.311.700,00";"39.122.986.693.461.800,00";"39.123.471.026.820.700,00";"73.221.280.684.357.600,00";"73.226.184.481.535.100,00";"1,56";"false";"false";"false";"true";"false";"false";"false";"0,40";"";"3.294.057.667.732,00";"10";"B2";""
"10.000.001";"20.000.006";"30.000.040";"Uzistoon";"-57.893.084.293.713.400,00";"45.833.021.879.997.800,00";"74.838.023.569.004.400,00";"-57.894.315.490.518.500,00";"-57.890.108.516.821.100,00";"45.832.982.796.284.600,00";"45.833.115.721.323.400,00";"74.836.721.212.821.900,00";"74.838.092.429.432.500,00";"0,02";"false";"false";"false";"true";"false";"false";"false";"0,39";"";"2.103.486.848.724,00";"7";"B2";""
"10.000.001";"20.000.006";"30.000.041";"Bairshir";"-59.500.536.638.628.800,00";"30.602.000.215.019.500,00";"70.450.499.247.601.500,00";"-59.500.612.499.943.200,00";"-59.499.329.578.206.900,00";"30.601.911.106.546.600,00";"30.602.005.874.279.800,00";"70.450.459.239.084.300,00";"70.454.679.996.837.100,00";"0,03";"false";"false";"true";"false";"false";"false";"false";"0,36";"";"2.110.378.876.364,00";"3.800";"B2";""
"10.000.001";"20.000.006";"30.000.042";"Moh";"-62.674.059.167.873.800,00";"33.768.290.206.315.200,00";"64.245.757.325.714.800,00";"-62.678.450.637.471.300,00";"-62.668.557.630.768.600,00";"33.767.695.127.164.500,00";"33.769.033.036.678.200,00";"64.240.003.985.703.000,00";"64.245.758.136.914.800,00";"4,22";"false";"true";"false";"false";"false";"false";"false";"0,47";"";"4.946.503.351.372,00";"3.796";"B1";""
"10.000.001";"20.000.006";"30.000.043";"Sari";"-62.779.423.667.720.400,00";"52.039.434.306.573.600,00";"81.846.145.892.347.600,00";"-62.780.160.458.622.000,00";"-62.777.608.923.875.500,00";"52.039.433.737.863.600,00";"52.039.434.615.873.600,00";"81.842.909.351.784.600,00";"81.847.762.155.740.500,00";"0,09";"true";"false";"false";"true";"false";"false";"true";"0,38";"";"2.426.401.977.928,00";"3.798";"B2";""
"10.000.001";"20.000.007";"30.000.044";"Faspera";"-87.275.787.061.837.700,00";"24.422.502.349.262.500,00";"107.306.739.389.601.000,00";"-87.276.213.213.681.000,00";"-87.274.527.237.505.300,00";"24.422.435.839.313.000,00";"24.422.698.965.453.600,00";"107.306.166.498.738.000,00";"107.307.560.883.618.000,00";"0,12";"false";"false";"true";"false";"false";"false";"false";"0,13";"";"842.988.087.840,00";"3.796";"B3";""
"10.000.001";"20.000.007";"30.000.045";"Jaymass";"-82.887.953.753.333.100,00";"32.277.060.913.727.700,00";"99.630.396.320.491.900,00";"-82.890.093.949.345.500,00";"-82.883.158.221.344.100,00";"32.276.666.626.817.900,00";"32.277.944.147.527.500,00";"99.628.146.543.366.900,00";"99.630.659.621.489.700,00";"0,40";"false";"false";"false";"true";"false";"false";"false";"0,22";"";"3.467.864.000.712,00";"6";"B3";""
"10.000.001";"20.000.007";"30.000.046";"Mifrata";"-78.639.929.616.778.000,00";"42.640.460.112.816.600,00";"94.549.571.824.356.300,00";"-78.644.227.851.576.800,00";"-78.639.364.855.674.400,00";"42.640.384.997.943.400,00";"42.641.031.786.860.200,00";"94.548.178.695.059.100,00";"94.552.348.217.108.300,00";"0,07";"true";"false";"false";"true";"false";"false";"true";"0,30";"";"2.431.497.951.200,00";"8";"B2";""
"10.000.001";"20.000.007";"30.000.047";"Majamar";"-73.381.467.136.228.100,00";"33.974.076.985.768.500,00";"84.124.835.282.852.200,00";"-73.388.043.663.751.900,00";"-73.381.323.230.417.100,00";"33.974.051.103.063.600,00";"33.975.259.827.072.100,00";"84.115.836.722.190.500,00";"84.128.499.487.845.700,00";"2,67";"false";"false";"true";"false";"false";"false";"false";"0,37";"";"6.331.382.827.616,00";"9";"B2";""
"10.000.001";"20.000.007";"30.000.048";"Ihal";"-84.811.359.818.445.400,00";"47.168.756.430.761.600,00";"84.060.080.477.225.600,00";"-84.819.779.763.485.300,00";"-84.810.632.237.896.100,00";"47.168.631.641.478.400,00";"47.168.767.219.903.100,00";"84.054.345.329.102.400,00";"84.063.703.807.274.800,00";"1,21";"true";"false";"false";"true";"false";"false";"true";"0,49";"";"4.679.239.086.184,00";"3.797";"B1";""
"10.000.001";"20.000.007";"30.000.049";"Camal";"-89.393.067.632.056.200,00";"40.323.443.484.050.300,00";"103.505.841.227.187.000,00";"-89.394.413.093.218.000,00";"-89.391.207.234.701.500,00";"40.323.295.041.231.100,00";"40.323.648.749.327.100,00";"103.505.479.236.014.000,00";"103.506.820.401.805.000,00";"0,03";"false";"true";"false";"false";"false";"false";"false";"0,21";"";"1.602.929.258.280,00";"3.798";"B3";""
"10.000.001";"20.000.007";"30.000.050";"Fera";"-74.299.224.152.638.900,00";"39.382.745.820.237.100,00";"78.999.332.766.387.200,00";"-74.299.523.844.776.000,00";"-74.298.784.638.624.900,00";"39.382.734.925.162.700,00";"39.382.761.801.316.900,00";"78.999.332.684.187.200,00";"79.000.214.558.299.100,00";"0,02";"false";"true";"false";"false";"false";"false";"false";"0,48";"";"440.937.055.952,00";"3.799";"B1";""
"10.000.001";"20.000.008";"30.000.051";"Juddi";"-81.696.029.803.755.200,00";"43.312.474.926.582.800,00";"71.958.178.282.436.300,00";"-81.698.836.414.232.500,00";"-81.695.412.326.939.500,00";"43.312.165.282.671.800,00";"43.312.543.050.961.400,00";"71.956.331.143.522.200,00";"71.963.659.408.042.600,00";"0,34";"true";"false";"false";"true";"false";"false";"true";"0,65";"";"3.664.132.260.188,00";"6";"B1";""
"10.000.001";"20.000.008";"30.000.052";"Maspah";"-84.298.169.522.780.300,00";"40.933.231.824.812.000,00";"57.665.504.477.869.500,00";"-84.301.020.330.997.600,00";"-84.296.383.475.859.900,00";"40.932.923.005.174.600,00";"40.933.423.310.672.100,00";"57.663.249.585.874.000,00";"57.666.307.703.166.100,00";"0,28";"true";"false";"false";"true";"false";"false";"true";"0,80";"";"2.318.427.568.856,00";"3.799";"B";""
"10.000.001";"20.000.008";"30.000.053";"Ibaria";"-85.000.827.583.159.300,00";"43.133.101.361.465.100,00";"66.861.168.763.407.400,00";"-85.001.595.956.303.900,00";"-85.000.827.504.659.300,00";"43.132.987.092.657.600,00";"43.133.101.439.965.100,00";"66.860.917.786.338.300,00";"66.861.300.027.079.200,00";"0,02";"false";"false";"true";"false";"false";"false";"false";"0,73";"";"384.225.822.320,00";"3.799";"B1";""
"10.000.001";"20.000.008";"30.000.054";"Shala";"-85.039.605.426.929.600,00";"33.253.850.385.570.600,00";"57.833.924.355.980.600,00";"-85.041.571.783.052.500,00";"-85.037.023.415.453.900,00";"33.253.473.619.414.600,00";"33.254.137.315.552.800,00";"57.830.802.156.125.800,00";"57.837.745.662.833.100,00";"0,17";"false";"false";"true";"false";"false";"false";"false";"0,72";"";"3.471.753.353.664,00";"3.797";"B1";""
"10.000.001";"20.000.008";"30.000.055";"Zemalu";"-78.353.005.942.623.300,00";"37.708.303.599.870.300,00";"58.441.885.318.365.000,00";"-78.353.238.145.774.700,00";"-78.352.033.821.819.400,00";"37.708.270.149.091.800,00";"37.708.443.639.362.700,00";"58.440.247.619.762.300,00";"58.442.797.566.572.600,00";"0,04";"false";"false";"true";"false";"false";"false";"false";"0,73";"";"1.274.973.405.164,00";"3.802";"B1";""
"10.000.001";"20.000.008";"30.000.056";"Khankenirdia";"-76.447.984.592.627.100,00";"42.323.396.070.787.200,00";"71.495.345.478.719.400,00";"-76.450.527.162.085.700,00";"-76.443.964.777.350.900,00";"42.323.135.662.220.800,00";"42.323.807.779.278.800,00";"71.492.305.371.194.000,00";"71.498.717.217.879.800,00";"0,05";"false";"true";"false";"false";"false";"false";"false";"0,61";"";"3.281.192.367.384,00";"7";"B1";""
"10.000.001";"20.000.009";"30.000.057";"Nikh";"-85.714.432.605.002.100,00";"66.485.180.580.943.200,00";"61.024.775.895.002.300,00";"-85.717.070.764.877.200,00";"-85.708.939.278.167.600,00";"66.484.350.424.289.900,00";"66.485.580.711.435.300,00";"61.019.515.896.602.900,00";"61.028.713.131.410.200,00";"0,12";"true";"false";"false";"true";"false";"false";"true";"0,77";"";"4.598.617.403.668,00";"7";"B";""
"10.000.001";"20.000.009";"30.000.058";"Amphar";"-81.506.260.408.812.100,00";"71.942.058.569.451.900,00";"60.077.264.184.929.200,00";"-81.506.574.801.111.800,00";"-81.504.055.169.650.200,00";"71.942.039.992.215.900,00";"71.942.189.774.607.300,00";"60.075.146.847.528.000,00";"60.077.865.972.822.700,00";"0,01";"true";"false";"false";"true";"false";"false";"true";"0,70";"";"1.359.562.647.344,00";"3.800";"B1";""
"10.000.001";"20.000.009";"30.000.059";"Salashayama";"-78.462.144.495.839.700,00";"75.721.744.939.315.600,00";"53.501.874.200.793.500,00";"-78.462.513.798.788.600,00";"-78.461.788.922.227.600,00";"75.721.676.997.453.100,00";"75.721.815.505.618.900,00";"53.499.264.600.324.400,00";"53.503.218.477.832.600,00";"0,02";"false";"false";"true";"false";"false";"false";"false";"0,67";"";"1.976.938.754.072,00";"3.800";"B1";""
"10.000.001";"20.000.009";"30.000.060";"Janus";"-67.019.723.134.447.700,00";"75.145.506.477.540.300,00";"56.751.705.435.097.900,00";"-67.020.806.444.739.000,00";"-67.015.725.982.405.600,00";"75.145.141.127.820.700,00";"75.145.605.243.000.100,00";"56.751.047.625.921.600,00";"56.752.912.957.364.400,00";"0,07";"false";"false";"false";"true";"false";"false";"false";"0,55";"";"2.540.231.166.708,00";"8";"B1";""
"10.000.001";"20.000.009";"30.000.061";"Agha";"-85.529.128.805.122.800,00";"68.585.914.092.815.000,00";"64.690.720.392.612.600,00";"-85.529.179.163.155.700,00";"-85.526.292.604.255.200,00";"68.585.765.978.457.000,00";"68.585.916.737.503.400,00";"64.690.122.574.439.800,00";"64.691.969.806.773.800,00";"0,01";"false";"true";"false";"false";"false";"false";"false";"0,72";"";"1.443.279.450.256,00";"3.800";"B1";""
"10.000.001";"20.000.009";"30.000.062";"Iosantin";"-60.426.349.382.586.600,00";"75.280.217.078.275.300,00";"59.383.802.160.235.900,00";"-60.426.434.609.711.200,00";"-60.424.583.799.533.500,00";"75.280.212.978.117.900,00";"75.280.302.013.938.500,00";"59.383.740.232.553.800,00";"59.385.736.656.927.200,00";"0,02";"false";"false";"false";"true";"false";"false";"false";"0,45";"";"998.212.186.708,00";"3.800";"B1";""
